2025-05-30 11:30:33,692 - INFO - MainThread - Scalable Server listening on 0.0.0.0:8889 with 1 workers
2025-05-30 11:32:55,452 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40550)
2025-05-30 11:32:55,452 - INFO - Worker_0 - Connection from ('172.16.16.102', 40576) assigned to thread Worker_0
2025-05-30 11:32:57,658 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40576)
2025-05-30 11:32:57,659 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40576)
2025-05-30 11:32:57,659 - INFO - Worker_0 - Connection from ('172.16.16.102', 40582) assigned to thread Worker_0
2025-05-30 11:32:59,968 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40582)
2025-05-30 11:32:59,968 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40582)
2025-05-30 11:32:59,969 - INFO - Worker_0 - Connection from ('172.16.16.102', 40584) assigned to thread Worker_0
2025-05-30 11:33:02,327 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40584)
2025-05-30 11:33:02,327 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40584)
2025-05-30 11:33:02,328 - INFO - Worker_0 - Connection from ('172.16.16.102', 40614) assigned to thread Worker_0
2025-05-30 11:33:04,385 - INFO - Worker_0 - OK: Stream-decoded and saved file_50mb.txt from ('172.16.16.102', 40614)
2025-05-30 11:33:04,385 - INFO - Worker_0 - Closed connection from ('172.16.16.102', 40614)
2025-05-30 11:33:04,385 - INFO - Worker_0 - Connection from ('172.16.16.102', 40630) assigned to thread Worker_0
